datetime,00060_Mean,00060_Mean_cd,site_no
2019-10-01 00:00:00+00:00,36.9,A,09019000
2019-10-02 00:00:00+00:00,41.1,A,09019000
2019-10-03 00:00:00+00:00,41.3,A,09019000
2019-10-04 00:00:00+00:00,41.2,A,09019000
2019-10-05 00:00:00+00:00,41.4,A,09019000
2019-10-06 00:00:00+00:00,41.7,A,09019000
2019-10-07 00:00:00+00:00,30.3,A,09019000
2019-10-08 00:00:00+00:00,23.6,A,09019000
2019-10-09 00:00:00+00:00,23.2,A,09019000
2019-10-10 00:00:00+00:00,22.5,A,09019000
2019-10-11 00:00:00+00:00,22.5,A,09019000
2019-10-12 00:00:00+00:00,22.5,A,09019000
2019-10-13 00:00:00+00:00,22.5,A,09019000
2019-10-14 00:00:00+00:00,22.5,A,09019000
2019-10-15 00:00:00+00:00,22.6,A,09019000
2019-10-16 00:00:00+00:00,22.6,A,09019000
2019-10-17 00:00:00+00:00,22.7,A,09019000
2019-10-18 00:00:00+00:00,23.0,A,09019000
2019-10-19 00:00:00+00:00,22.8,A,09019000
2019-10-20 00:00:00+00:00,23.0,A,09019000
2019-10-21 00:00:00+00:00,22.7,A,09019000
2019-10-22 00:00:00+00:00,22.6,A,09019000
2019-10-23 00:00:00+00:00,22.6,A,09019000
2019-10-24 00:00:00+00:00,22.6,A,09019000
2019-10-25 00:00:00+00:00,22.5,A,09019000
2019-10-26 00:00:00+00:00,22.5,A,09019000
2019-10-27 00:00:00+00:00,22.5,A,09019000
2019-10-28 00:00:00+00:00,22.5,A,09019000
2019-10-29 00:00:00+00:00,22.5,A,09019000
2019-10-30 00:00:00+00:00,22.5,A,09019000
2019-10-31 00:00:00+00:00,22.5,A,09019000
2019-11-01 00:00:00+00:00,22.5,A,09019000
2019-11-02 00:00:00+00:00,22.5,A,09019000
2019-11-03 00:00:00+00:00,22.5,A,09019000
2019-11-04 00:00:00+00:00,22.5,A,09019000
2019-11-05 00:00:00+00:00,22.5,A,09019000
2019-11-06 00:00:00+00:00,22.5,A,09019000
2019-11-07 00:00:00+00:00,22.5,A,09019000
2019-11-08 00:00:00+00:00,22.5,A,09019000
2019-11-09 00:00:00+00:00,22.5,A,09019000
2019-11-10 00:00:00+00:00,22.5,A,09019000
2019-11-11 00:00:00+00:00,22.5,A,09019000
2019-11-12 00:00:00+00:00,22.5,A,09019000
2019-11-13 00:00:00+00:00,22.5,A,09019000
2019-11-14 00:00:00+00:00,22.5,A,09019000
2019-11-15 00:00:00+00:00,22.5,A,09019000
2019-11-16 00:00:00+00:00,22.5,A,09019000
2019-11-17 00:00:00+00:00,22.5,A,09019000
2019-11-18 00:00:00+00:00,22.3,A,09019000
2019-11-19 00:00:00+00:00,22.0,A,09019000
2019-11-20 00:00:00+00:00,21.9,A,09019000
2019-11-21 00:00:00+00:00,21.5,A,09019000
2019-11-22 00:00:00+00:00,21.5,A,09019000
2019-11-23 00:00:00+00:00,21.5,A,09019000
2019-11-24 00:00:00+00:00,21.1,A,09019000
2019-11-25 00:00:00+00:00,21.0,A,09019000
2019-11-26 00:00:00+00:00,21.0,A,09019000
2019-11-27 00:00:00+00:00,21.0,A,09019000
2019-11-28 00:00:00+00:00,21.0,A,09019000
2019-11-29 00:00:00+00:00,21.0,A,09019000
2019-11-30 00:00:00+00:00,21.0,A,09019000
2019-12-01 00:00:00+00:00,21.0,A,09019000
