date,PREC_DAILY,WTEQ_DAILY
1987-10-01,0.0,0.0
1987-10-02,0.0,0.0
1987-10-03,0.0,0.0
1987-10-04,0.0,0.0
1987-10-05,0.0,0.0
1987-10-06,0.0,0.0
1987-10-07,0.0,0.0
1987-10-08,0.0,0.0
1987-10-09,0.0,0.0
1987-10-10,0.0,0.0
1987-10-11,0.0,0.0
1987-10-12,0.2,0.0
1987-10-13,0.4,0.0
1987-10-14,0.4,0.0
1987-10-15,0.4,0.0
1987-10-16,0.4,0.0
1987-10-17,0.4,0.0
1987-10-18,0.4,0.0
1987-10-19,0.4,0.0
1987-10-20,0.4,0.0
1987-10-21,0.4,0.0
1987-10-22,0.4,0.0
1987-10-23,0.5,0.0
1987-10-24,0.6,0.0
1987-10-25,0.7,0.0
1987-10-26,0.7,0.0
1987-10-27,0.7,0.0
1987-10-28,0.7,0.0
1987-10-29,1.0,0.0
1987-10-30,1.1,0.0
1987-10-31,1.3,0.0
1987-11-01,1.3,0.0
1987-11-02,1.4,0.0
1987-11-03,1.4,0.0
1987-11-04,1.4,0.0
1987-11-05,1.8,0.0
1987-11-06,2.0,0.0
1987-11-07,2.1,0.0
1987-11-08,2.1,0.0
1987-11-09,2.2,0.0
1987-11-10,2.2,0.0
1987-11-11,2.2,0.0
1987-11-12,2.2,0.1
1987-11-13,2.4,0.2
1987-11-14,2.7,0.5
1987-11-15,2.7,0.6
1987-11-16,2.7,0.6
1987-11-17,2.8,0.8
1987-11-18,2.8,0.9
1987-11-19,2.8,1.0
1987-11-20,2.8,1.0
1987-11-21,2.9,1.0
1987-11-22,2.9,1.1
1987-11-23,2.9,1.1
1987-11-24,2.9,1.1
1987-11-25,2.9,1.1
1987-11-26,3.0,1.3
1987-11-27,3.0,1.3
1987-11-28,3.0,1.3
1987-11-29,3.0,1.3
1987-11-30,3.0,1.3
1987-12-01,3.0,1.3
1987-12-02,3.0,1.3
1987-12-03,3.0,1.3
1987-12-04,3.0,1.3
1987-12-05,3.1,1.5
1987-12-06,3.1,1.5
1987-12-07,3.6,2.0
1987-12-08,3.6,2.1
1987-12-09,3.7,2.1
1987-12-10,4.3,2.7
1987-12-11,4.4,2.7
1987-12-12,4.4,2.7
1987-12-13,4.4,2.7
1987-12-14,4.4,2.7
1987-12-15,4.4,2.7
1987-12-16,4.5,2.7
1987-12-17,4.5,2.7
1987-12-18,4.5,2.7
1987-12-19,4.6,2.7
1987-12-20,4.6,2.7
1987-12-21,4.7,2.8
1987-12-22,5.5,3.2
1987-12-23,5.8,3.5
1987-12-24,5.8,3.5
1987-12-25,5.8,3.5
1987-12-26,5.8,3.5
1987-12-27,5.8,3.5
1987-12-28,5.8,3.5
1987-12-29,6.2,3.8
1987-12-30,6.3,3.9
1987-12-31,6.3,3.9
1988-01-01,6.3,3.9
1988-01-02,6.3,3.9
1988-01-03,6.3,3.9
1988-01-04,6.4,4.0
1988-01-05,6.9,4.4
1988-01-06,6.9,4.4
1988-01-07,7.1,4.5
1988-01-08,7.1,4.5
1988-01-09,7.2,4.6
1988-01-10,7.2,4.6
1988-01-11,7.7,5.1
1988-01-12,7.7,5.1
1988-01-13,7.7,5.1
1988-01-14,7.7,5.1
1988-01-15,8.2,6.3
1988-01-16,8.7,6.9
1988-01-17,9.1,7.5
1988-01-18,9.3,7.9
1988-01-19,9.3,8.1
1988-01-20,9.5,8.4
1988-01-21,9.5,8.7
1988-01-22,9.5,8.9
