date,PREC_DAILY,WTEQ_DAILY
1987-10-01,0.0,0.0
1987-10-02,0.0,0.0
1987-10-03,0.0,0.0
1987-10-04,0.0,0.0
1987-10-05,0.0,0.0
1987-10-06,0.0,0.0
1987-10-07,0.0,0.0
1987-10-08,0.0,0.0
1987-10-09,0.0,0.0
1987-10-10,0.0,0.0
1987-10-11,0.0,0.0
1987-10-12,0.1,0.0
1987-10-13,0.1,0.0
1987-10-14,0.1,0.0
1987-10-15,0.1,0.0
1987-10-16,0.1,0.0
1987-10-17,0.1,0.0
1987-10-18,0.1,0.0
1987-10-19,0.1,0.0
1987-10-20,0.1,0.0
1987-10-21,0.1,0.0
1987-10-22,0.1,0.0
1987-10-23,0.1,0.0
1987-10-24,0.2,0.0
1987-10-25,0.2,0.0
1987-10-26,0.2,0.0
1987-10-27,0.2,0.0
1987-10-28,0.2,0.0
1987-10-29,0.2,0.0
1987-10-30,0.2,0.0
1987-10-31,0.3,0.0
1987-11-01,0.4,0.0
1987-11-02,0.5,0.0
1987-11-03,0.6,0.0
1987-11-04,0.6,0.0
1987-11-05,0.6,0.0
1987-11-06,0.8,0.0
1987-11-07,0.8,0.0
1987-11-08,0.8,0.0
1987-11-09,0.9,0.0
1987-11-10,0.9,0.0
1987-11-11,0.9,0.0
1987-11-12,1.1,0.1
1987-11-13,1.3,0.4
1987-11-14,1.3,0.6
1987-11-15,1.5,0.6
1987-11-16,1.5,0.7
1987-11-17,1.5,0.7
1987-11-18,1.5,0.7
1987-11-19,1.6,0.8
1987-11-20,1.6,0.8
1987-11-21,1.6,0.8
1987-11-22,1.7,0.8
1987-11-23,1.8,0.8
1987-11-24,1.9,0.8
1987-11-25,1.9,0.8
1987-11-26,1.9,0.8
1987-11-27,1.9,0.8
1987-11-28,2.0,0.8
1987-11-29,2.0,0.8
1987-11-30,2.0,0.8
1987-12-01,2.8,1.5
1987-12-02,3.2,1.8
1987-12-03,3.2,1.8
1987-12-04,3.2,1.9
1987-12-05,3.2,1.9
1987-12-06,3.5,2.2
1987-12-07,3.5,2.3
1987-12-08,3.6,2.5
1987-12-09,3.9,2.7
1987-12-10,4.3,3.0
1987-12-11,4.3,3.0
1987-12-12,4.3,3.1
1987-12-13,4.3,3.1
1987-12-14,4.3,3.2
1987-12-15,4.3,3.2
1987-12-16,4.4,3.3
1987-12-17,4.4,3.3
1987-12-18,4.4,3.3
1987-12-19,4.4,3.3
1987-12-20,4.6,3.4
1987-12-21,4.6,3.5
1987-12-22,4.8,3.6
1987-12-23,4.8,3.6
1987-12-24,4.8,3.6
1987-12-25,4.8,3.6
1987-12-26,4.8,3.6
1987-12-27,4.8,3.6
1987-12-28,4.9,3.6
1987-12-29,4.9,3.8
1987-12-30,5.0,3.8
1987-12-31,5.0,3.8
1988-01-01,5.0,3.8
1988-01-02,5.0,3.8
1988-01-03,5.0,3.8
1988-01-04,5.0,3.9
1988-01-05,5.1,3.9
1988-01-06,5.1,3.9
1988-01-07,5.2,3.9
1988-01-08,5.2,4.1
1988-01-09,5.4,4.3
1988-01-10,5.8,4.5
1988-01-11,6.0,4.7
1988-01-12,6.0,4.7
1988-01-13,6.0,4.7
1988-01-14,6.4,5.0
1988-01-15,6.7,5.5
1988-01-16,6.7,5.5
1988-01-17,6.8,5.6
1988-01-18,6.9,5.6
1988-01-19,7.0,5.6
1988-01-20,7.0,5.6
1988-01-21,7.0,5.6
1988-01-22,7.0,5.6
