date,PREC_DAILY,WTEQ_DAILY
1987-10-01,0.0,0.0
1987-10-02,0.0,0.0
1987-10-03,0.0,0.0
1987-10-04,0.0,0.0
1987-10-05,0.0,0.0
1987-10-06,0.0,0.0
1987-10-07,0.0,0.0
1987-10-08,0.0,0.0
1987-10-09,0.0,0.0
1987-10-10,0.0,0.0
1987-10-11,0.0,0.0
1987-10-12,0.1,0.0
1987-10-13,0.4,0.0
1987-10-14,0.5,0.0
1987-10-15,0.5,0.0
1987-10-16,0.5,0.0
1987-10-17,0.5,0.0
1987-10-18,0.5,0.0
1987-10-19,0.5,0.0
1987-10-20,0.5,0.0
1987-10-21,0.5,0.1
1987-10-22,0.5,0.0
1987-10-23,0.6,0.0
1987-10-24,0.9,0.0
1987-10-25,0.9,0.0
1987-10-26,0.9,0.0
1987-10-27,0.9,0.0
1987-10-28,0.9,0.0
1987-10-29,0.9,0.0
1987-10-30,1.2,0.0
1987-10-31,1.3,0.0
1987-11-01,1.3,0.0
1987-11-02,1.3,0.0
1987-11-03,1.4,0.1
1987-11-04,1.4,0.1
1987-11-05,1.4,0.1
1987-11-06,1.8,0.4
1987-11-07,2.1,0.6
1987-11-08,2.1,0.6
1987-11-09,2.2,0.7
1987-11-10,2.3,0.7
1987-11-11,2.3,0.8
1987-11-12,2.3,0.8
1987-11-13,2.5,0.9
1987-11-14,3.1,1.1
1987-11-15,3.1,1.2
1987-11-16,3.3,1.6
1987-11-17,3.5,1.7
1987-11-18,3.5,1.7
1987-11-19,3.5,1.7
1987-11-20,3.5,1.7
1987-11-21,3.5,1.7
1987-11-22,3.5,1.7
1987-11-23,3.6,1.7
1987-11-24,3.6,1.7
1987-11-25,3.6,1.7
1987-11-26,3.7,1.9
1987-11-27,3.7,1.9
1987-11-28,3.7,1.9
1987-11-29,3.7,1.9
1987-11-30,3.7,1.9
1987-12-01,3.7,1.9
1987-12-02,3.7,1.9
1987-12-03,3.7,1.9
1987-12-04,3.7,1.9
1987-12-05,3.7,1.9
1987-12-06,3.7,1.9
1987-12-07,4.3,2.5
1987-12-08,4.3,2.5
1987-12-09,4.3,2.5
1987-12-10,4.6,2.8
1987-12-11,4.7,2.9
1987-12-12,4.8,3.0
1987-12-13,4.8,3.0
1987-12-14,4.8,3.0
1987-12-15,4.8,3.0
1987-12-16,4.8,3.0
1987-12-17,4.8,3.0
1987-12-18,4.8,3.0
1987-12-19,4.9,3.1
1987-12-20,4.9,3.1
1987-12-21,4.9,3.1
1987-12-22,5.9,4.0
1987-12-23,5.9,4.0
1987-12-24,5.9,4.0
1987-12-25,5.9,4.0
1987-12-26,5.9,4.0
1987-12-27,5.9,4.0
1987-12-28,6.0,4.0
1987-12-29,6.0,4.2
1987-12-30,6.0,4.2
1987-12-31,6.0,4.2
1988-01-01,6.0,4.2
1988-01-02,6.0,4.2
1988-01-03,6.0,4.2
1988-01-04,6.0,4.4
1988-01-05,6.2,4.8
1988-01-06,6.4,4.9
1988-01-07,6.5,4.9
1988-01-08,6.5,5.0
1988-01-09,6.7,5.1
1988-01-10,6.7,5.1
1988-01-11,7.2,5.8
1988-01-12,7.3,5.8
1988-01-13,7.4,5.8
1988-01-14,7.4,5.8
1988-01-15,7.5,6.0
1988-01-16,7.8,6.4
1988-01-17,7.9,6.4
1988-01-18,8.1,6.4
1988-01-19,8.1,6.4
1988-01-20,8.1,6.4
1988-01-21,8.1,6.4
1988-01-22,8.1,6.4
