datetime,00060_Mean,00060_Mean_cd,site_no
2023-10-01 00:00:00+00:00,40.6,A,06108000
2023-10-02 00:00:00+00:00,51.6,A,06108000
2023-10-03 00:00:00+00:00,55.7,P,06108000
2023-10-04 00:00:00+00:00,51.6,P,06108000
2023-10-05 00:00:00+00:00,50.3,P,06108000
2023-10-06 00:00:00+00:00,48.8,P,06108000
2023-10-07 00:00:00+00:00,46.2,P,06108000
2023-10-08 00:00:00+00:00,43.9,P,06108000
2023-10-09 00:00:00+00:00,41.8,P,06108000
2023-10-10 00:00:00+00:00,44.2,P,06108000
2023-10-11 00:00:00+00:00,44.7,P,06108000
2023-10-12 00:00:00+00:00,42.8,P,06108000
2023-10-13 00:00:00+00:00,42.7,P,06108000
2023-10-14 00:00:00+00:00,44.7,P,06108000
2023-10-15 00:00:00+00:00,47.4,P,06108000
2023-10-16 00:00:00+00:00,48.2,P,06108000
2023-10-17 00:00:00+00:00,47.9,P,06108000
2023-10-18 00:00:00+00:00,48.6,P,06108000
2023-10-19 00:00:00+00:00,48.1,P,06108000
2023-10-20 00:00:00+00:00,43.5,P,06108000
2023-10-21 00:00:00+00:00,40.5,P,06108000
2023-10-22 00:00:00+00:00,39.7,P,06108000
2023-10-23 00:00:00+00:00,40.5,P,06108000
2023-10-24 00:00:00+00:00,41.6,P,06108000
2023-10-25 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-10-26 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-10-27 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-10-28 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-10-29 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-10-30 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-10-31 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-11-01 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-11-02 00:00:00+00:00,73.3,"P, e",06108000
2023-11-03 00:00:00+00:00,68.0,P,06108000
2023-11-04 00:00:00+00:00,65.8,P,06108000
2023-11-05 00:00:00+00:00,65.0,P,06108000
2023-11-06 00:00:00+00:00,63.0,P,06108000
2023-11-07 00:00:00+00:00,61.7,P,06108000
2023-11-08 00:00:00+00:00,60.6,P,06108000
2023-11-09 00:00:00+00:00,60.3,P,06108000
2023-11-10 00:00:00+00:00,58.2,P,06108000
2023-11-11 00:00:00+00:00,58.0,P,06108000
2023-11-12 00:00:00+00:00,59.3,P,06108000
2023-11-13 00:00:00+00:00,59.4,P,06108000
2023-11-14 00:00:00+00:00,60.2,P,06108000
2023-11-15 00:00:00+00:00,58.8,P,06108000
2023-11-16 00:00:00+00:00,59.4,P,06108000
2023-11-17 00:00:00+00:00,58.9,P,06108000
2023-11-18 00:00:00+00:00,59.1,P,06108000
2023-11-19 00:00:00+00:00,61.2,P,06108000
2023-11-20 00:00:00+00:00,61.2,P,06108000
2023-11-21 00:00:00+00:00,60.7,P,06108000
2023-11-22 00:00:00+00:00,60.5,P,06108000
2023-11-23 00:00:00+00:00,62.0,P,06108000
2023-11-24 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-11-25 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-11-26 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-11-27 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-11-28 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-11-29 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-11-30 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-12-01 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-12-02 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-12-03 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-12-04 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-12-05 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-12-06 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-12-07 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-12-08 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-12-09 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-12-10 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-12-11 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-12-12 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-12-13 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-12-14 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-12-15 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-12-16 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-12-17 00:00:00+00:00,-999999.0,"P, Ice",06108000
2023-12-18 00:00:00+00:00,-999999.0,"P, Ice",06108000
