datetime,00060_Mean,00060_Mean_cd,site_no
1994-10-01 00:00:00+00:00,32.0,A,12390700
1994-10-02 00:00:00+00:00,33.0,A,12390700
1994-10-03 00:00:00+00:00,33.0,A,12390700
1994-10-04 00:00:00+00:00,32.0,A,12390700
1994-10-05 00:00:00+00:00,32.0,A,12390700
1994-10-06 00:00:00+00:00,31.0,A,12390700
1994-10-07 00:00:00+00:00,31.0,A,12390700
1994-10-08 00:00:00+00:00,31.0,A,12390700
1994-10-09 00:00:00+00:00,31.0,A,12390700
1994-10-10 00:00:00+00:00,31.0,A,12390700
1994-10-11 00:00:00+00:00,31.0,A,12390700
1994-10-12 00:00:00+00:00,31.0,A,12390700
1994-10-13 00:00:00+00:00,31.0,A,12390700
1994-10-14 00:00:00+00:00,31.0,A,12390700
1994-10-15 00:00:00+00:00,31.0,A,12390700
1994-10-16 00:00:00+00:00,30.0,A,12390700
1994-10-17 00:00:00+00:00,30.0,A,12390700
1994-10-18 00:00:00+00:00,29.0,A,12390700
1994-10-19 00:00:00+00:00,29.0,A,12390700
1994-10-20 00:00:00+00:00,29.0,A,12390700
1994-10-21 00:00:00+00:00,29.0,A,12390700
1994-10-22 00:00:00+00:00,29.0,A,12390700
1994-10-23 00:00:00+00:00,28.0,A,12390700
1994-10-24 00:00:00+00:00,28.0,A,12390700
1994-10-25 00:00:00+00:00,28.0,A,12390700
1994-10-26 00:00:00+00:00,28.0,A,12390700
1994-10-27 00:00:00+00:00,35.0,A,12390700
1994-10-28 00:00:00+00:00,33.0,A,12390700
1994-10-29 00:00:00+00:00,31.0,A,12390700
1994-10-30 00:00:00+00:00,30.0,A,12390700
1994-10-31 00:00:00+00:00,34.0,A,12390700
1994-11-01 00:00:00+00:00,43.0,A,12390700
1994-11-02 00:00:00+00:00,35.0,A,12390700
1994-11-03 00:00:00+00:00,33.0,A,12390700
1994-11-04 00:00:00+00:00,32.0,A,12390700
1994-11-05 00:00:00+00:00,32.0,A,12390700
1994-11-06 00:00:00+00:00,32.0,A,12390700
1994-11-07 00:00:00+00:00,31.0,A,12390700
1994-11-08 00:00:00+00:00,31.0,A,12390700
1994-11-09 00:00:00+00:00,31.0,A,12390700
1994-11-10 00:00:00+00:00,31.0,A,12390700
1994-11-11 00:00:00+00:00,31.0,A,12390700
1994-11-12 00:00:00+00:00,31.0,A,12390700
1994-11-13 00:00:00+00:00,31.0,A,12390700
1994-11-14 00:00:00+00:00,31.0,A,12390700
1994-11-15 00:00:00+00:00,31.0,A,12390700
1994-11-16 00:00:00+00:00,31.0,A,12390700
1994-11-17 00:00:00+00:00,32.0,A,12390700
1994-11-18 00:00:00+00:00,32.0,A,12390700
1994-11-19 00:00:00+00:00,32.0,A,12390700
1994-11-20 00:00:00+00:00,33.0,A,12390700
1994-11-21 00:00:00+00:00,33.0,A,12390700
1994-11-22 00:00:00+00:00,33.0,A,12390700
1994-11-23 00:00:00+00:00,32.0,A,12390700
1994-11-24 00:00:00+00:00,33.0,A,12390700
1994-11-25 00:00:00+00:00,33.0,A,12390700
1994-11-26 00:00:00+00:00,33.0,A,12390700
1994-11-27 00:00:00+00:00,32.0,A,12390700
1994-11-28 00:00:00+00:00,32.0,A,12390700
1994-11-29 00:00:00+00:00,32.0,A,12390700
1994-11-30 00:00:00+00:00,36.0,A,12390700
1994-12-01 00:00:00+00:00,43.0,A,12390700
1994-12-02 00:00:00+00:00,39.0,A,12390700
1994-12-03 00:00:00+00:00,37.0,A,12390700
1994-12-04 00:00:00+00:00,35.0,A,12390700
1994-12-05 00:00:00+00:00,35.0,A,12390700
1994-12-06 00:00:00+00:00,35.0,A,12390700
1994-12-07 00:00:00+00:00,37.0,A,12390700
1994-12-08 00:00:00+00:00,38.0,A,12390700
1994-12-09 00:00:00+00:00,39.0,A,12390700
1994-12-10 00:00:00+00:00,40.0,A,12390700
1994-12-11 00:00:00+00:00,41.0,A,12390700
1994-12-12 00:00:00+00:00,41.0,A,12390700
1994-12-13 00:00:00+00:00,42.0,A,12390700
1994-12-14 00:00:00+00:00,43.0,A,12390700
1994-12-15 00:00:00+00:00,43.0,A,12390700
1994-12-16 00:00:00+00:00,44.0,A,12390700
1994-12-17 00:00:00+00:00,45.0,A,12390700
1994-12-18 00:00:00+00:00,45.0,A,12390700
1994-12-19 00:00:00+00:00,46.0,A,12390700
1994-12-20 00:00:00+00:00,46.0,A,12390700
1994-12-21 00:00:00+00:00,46.0,A,12390700
1994-12-22 00:00:00+00:00,46.0,A,12390700
1994-12-23 00:00:00+00:00,46.0,A,12390700
1994-12-24 00:00:00+00:00,46.0,A,12390700
1994-12-25 00:00:00+00:00,46.0,A,12390700
1994-12-26 00:00:00+00:00,46.0,A,12390700
1994-12-27 00:00:00+00:00,47.0,A,12390700
1994-12-28 00:00:00+00:00,48.0,A,12390700
1994-12-29 00:00:00+00:00,48.0,A,12390700
1994-12-30 00:00:00+00:00,47.0,A,12390700
1994-12-31 00:00:00+00:00,46.0,A,12390700
1995-01-01 00:00:00+00:00,46.0,A,12390700
1995-01-02 00:00:00+00:00,46.0,A,12390700
1995-01-03 00:00:00+00:00,46.0,A,12390700
1995-01-04 00:00:00+00:00,45.0,A,12390700
1995-01-05 00:00:00+00:00,45.0,A,12390700
1995-01-06 00:00:00+00:00,48.0,A,12390700
1995-01-07 00:00:00+00:00,51.0,A,12390700
1995-01-08 00:00:00+00:00,50.0,A,12390700
1995-01-09 00:00:00+00:00,53.0,A,12390700
1995-01-10 00:00:00+00:00,57.0,A,12390700
1995-01-11 00:00:00+00:00,58.0,A,12390700
1995-01-12 00:00:00+00:00,58.0,A,12390700
1995-01-13 00:00:00+00:00,59.0,A,12390700
1995-01-14 00:00:00+00:00,74.0,A,12390700
1995-01-15 00:00:00+00:00,78.0,A,12390700
1995-01-16 00:00:00+00:00,79.0,A,12390700
1995-01-17 00:00:00+00:00,78.0,A,12390700
1995-01-18 00:00:00+00:00,82.0,A,12390700
1995-01-19 00:00:00+00:00,99.0,A,12390700
1995-01-20 00:00:00+00:00,104.0,A,12390700
1995-01-21 00:00:00+00:00,102.0,A,12390700
1995-01-22 00:00:00+00:00,101.0,A,12390700
1995-01-23 00:00:00+00:00,100.0,A,12390700
1995-01-24 00:00:00+00:00,99.0,A,12390700
1995-01-25 00:00:00+00:00,99.0,A,12390700
1995-01-26 00:00:00+00:00,98.0,A,12390700
1995-01-27 00:00:00+00:00,95.0,A,12390700
1995-01-28 00:00:00+00:00,93.0,A,12390700
1995-01-29 00:00:00+00:00,92.0,A,12390700
1995-01-30 00:00:00+00:00,95.0,A,12390700
1995-01-31 00:00:00+00:00,107.0,A,12390700
1995-02-01 00:00:00+00:00,161.0,A,12390700
1995-02-02 00:00:00+00:00,334.0,A,12390700
1995-02-03 00:00:00+00:00,355.0,A,12390700
1995-02-04 00:00:00+00:00,320.0,A,12390700
1995-02-05 00:00:00+00:00,292.0,A,12390700
1995-02-06 00:00:00+00:00,272.0,A,12390700
1995-02-07 00:00:00+00:00,261.0,A,12390700
1995-02-08 00:00:00+00:00,254.0,A,12390700
1995-02-09 00:00:00+00:00,247.0,A,12390700
1995-02-10 00:00:00+00:00,236.0,A,12390700
1995-02-11 00:00:00+00:00,223.0,A,12390700
1995-02-12 00:00:00+00:00,204.0,A,12390700
1995-02-13 00:00:00+00:00,181.0,A,12390700
1995-02-14 00:00:00+00:00,177.0,A,12390700
1995-02-15 00:00:00+00:00,172.0,A,12390700
1995-02-16 00:00:00+00:00,168.0,A,12390700
1995-02-17 00:00:00+00:00,167.0,A,12390700
1995-02-18 00:00:00+00:00,163.0,A,12390700
1995-02-19 00:00:00+00:00,356.0,A,12390700
1995-02-20 00:00:00+00:00,1180.0,A,12390700
1995-02-21 00:00:00+00:00,1310.0,A,12390700
1995-02-22 00:00:00+00:00,1040.0,A,12390700
1995-02-23 00:00:00+00:00,802.0,A,12390700
1995-02-24 00:00:00+00:00,673.0,A,12390700
1995-02-25 00:00:00+00:00,618.0,A,12390700
1995-02-26 00:00:00+00:00,591.0,A,12390700
1995-02-27 00:00:00+00:00,541.0,A,12390700
1995-02-28 00:00:00+00:00,474.0,A,12390700
1995-03-01 00:00:00+00:00,423.0,A,12390700
1995-03-02 00:00:00+00:00,379.0,A,12390700
1995-03-03 00:00:00+00:00,348.0,A,12390700
1995-03-04 00:00:00+00:00,328.0,A,12390700
1995-03-05 00:00:00+00:00,306.0,A,12390700
1995-03-06 00:00:00+00:00,281.0,A,12390700
1995-03-07 00:00:00+00:00,261.0,A,12390700
1995-03-08 00:00:00+00:00,247.0,A,12390700
1995-03-09 00:00:00+00:00,268.0,A,12390700
1995-03-10 00:00:00+00:00,317.0,A,12390700
1995-03-11 00:00:00+00:00,374.0,A,12390700
1995-03-12 00:00:00+00:00,450.0,A,12390700
1995-03-13 00:00:00+00:00,453.0,A,12390700
1995-03-14 00:00:00+00:00,435.0,A,12390700
1995-03-15 00:00:00+00:00,435.0,A,12390700
1995-03-16 00:00:00+00:00,426.0,A,12390700
1995-03-17 00:00:00+00:00,412.0,A,12390700
1995-03-18 00:00:00+00:00,404.0,A,12390700
1995-03-19 00:00:00+00:00,421.0,A,12390700
1995-03-20 00:00:00+00:00,426.0,A,12390700
1995-03-21 00:00:00+00:00,459.0,A,12390700
1995-03-22 00:00:00+00:00,442.0,A,12390700
1995-03-23 00:00:00+00:00,435.0,A,12390700
1995-03-24 00:00:00+00:00,415.0,A,12390700
1995-03-25 00:00:00+00:00,384.0,A,12390700
1995-03-26 00:00:00+00:00,358.0,A,12390700
1995-03-27 00:00:00+00:00,333.0,A,12390700
1995-03-28 00:00:00+00:00,313.0,A,12390700
1995-03-29 00:00:00+00:00,299.0,A,12390700
1995-03-30 00:00:00+00:00,285.0,A,12390700
1995-03-31 00:00:00+00:00,276.0,A,12390700
1995-04-01 00:00:00+00:00,272.0,A,12390700
1995-04-02 00:00:00+00:00,267.0,A,12390700
1995-04-03 00:00:00+00:00,257.0,A,12390700
1995-04-04 00:00:00+00:00,255.0,A,12390700
1995-04-05 00:00:00+00:00,261.0,A,12390700
1995-04-06 00:00:00+00:00,268.0,A,12390700
1995-04-07 00:00:00+00:00,281.0,A,12390700
1995-04-08 00:00:00+00:00,297.0,A,12390700
1995-04-09 00:00:00+00:00,299.0,A,12390700
1995-04-10 00:00:00+00:00,297.0,A,12390700
1995-04-11 00:00:00+00:00,292.0,A,12390700
1995-04-12 00:00:00+00:00,290.0,A,12390700
1995-04-13 00:00:00+00:00,297.0,A,12390700
1995-04-14 00:00:00+00:00,300.0,A,12390700
1995-04-15 00:00:00+00:00,297.0,A,12390700
1995-04-16 00:00:00+00:00,294.0,A,12390700
1995-04-17 00:00:00+00:00,290.0,A,12390700
1995-04-18 00:00:00+00:00,283.0,A,12390700
1995-04-19 00:00:00+00:00,279.0,A,12390700
1995-04-20 00:00:00+00:00,269.0,A,12390700
1995-04-21 00:00:00+00:00,259.0,A,12390700
1995-04-22 00:00:00+00:00,249.0,A,12390700
1995-04-23 00:00:00+00:00,240.0,A,12390700
1995-04-24 00:00:00+00:00,240.0,A,12390700
1995-04-25 00:00:00+00:00,262.0,A,12390700
1995-04-26 00:00:00+00:00,270.0,A,12390700
1995-04-27 00:00:00+00:00,281.0,A,12390700
1995-04-28 00:00:00+00:00,292.0,A,12390700
1995-04-29 00:00:00+00:00,294.0,A,12390700
1995-04-30 00:00:00+00:00,290.0,A,12390700
1995-05-01 00:00:00+00:00,283.0,A,12390700
1995-05-02 00:00:00+00:00,285.0,A,12390700
1995-05-03 00:00:00+00:00,304.0,A,12390700
1995-05-04 00:00:00+00:00,325.0,A,12390700
1995-05-05 00:00:00+00:00,358.0,A,12390700
1995-05-06 00:00:00+00:00,397.0,A,12390700
1995-05-07 00:00:00+00:00,426.0,A,12390700
1995-05-08 00:00:00+00:00,453.0,A,12390700
1995-05-09 00:00:00+00:00,477.0,A,12390700
1995-05-10 00:00:00+00:00,528.0,A,12390700
1995-05-11 00:00:00+00:00,582.0,A,12390700
1995-05-12 00:00:00+00:00,613.0,A,12390700
1995-05-13 00:00:00+00:00,590.0,A,12390700
1995-05-14 00:00:00+00:00,525.0,A,12390700
1995-05-15 00:00:00+00:00,499.0,A,12390700
1995-05-16 00:00:00+00:00,533.0,A,12390700
1995-05-17 00:00:00+00:00,611.0,A,12390700
